dumb;Keyword;Site;Name;City;Country;Longitude;Latitude
0;Tata;TAT-HU;;Tata;HU;18.32;47.65
0;TAT-HU;TAT-HU;;Tata;HU;18.32;47.65
0;Three Hills Observatory;THO-UK;Three Hills Observatory;;UK;0.0;0.0
0;Tours;TRS-FR;;Tours;FR;0.68;47.38
0;University of Adelaide;UAD-AU;;Adelaide;AU;138.6;-34.92
0;CDK17 LhiresIII ATIK460EX;UHO-US;;Los Angeles (CA);US;-118.18;34.06
0;University Hills, Los Angeles, CA;UHO-US;;Los Angeles (CA);US;-118.18;34.06
0;University Hils, Los Angeles, CA;UHO-US;;Los Angeles (CA);US;-118.18;34.06
0;UniversityHills-LosAngeles, CA;UHO-US;;Los Angeles (CA);US;-118.18;34.06
0;unknown;???-??;un;un;un;0.0;0.0
0;West Challow Observatory;WCO-UK;West Challow Observatory;;UK;-1.47;51.59
0;West Challow UK;WCO-UK;West Challow Observatory;;UK;-1.47;51.59
0;West_Challow_UK;WCO-UK;West Challow Observatory;;UK;-1.47;51.59
0;Yank Gulch;YGU-US;un;un;US;-122.8;42.22
0;Barnards Yatton;YAT-UK;;;UK;-2.82;51.38
0;Barnards_Yatton;YAT-UK;;;UK;-2.82;51.38
0;La Blaque Varages;LBA-FR;;La Blaque Varages;FR;0.0;0.0
0;Desert Wing;DWO-US;un;un;un;0.0;0.0
0;East Essex,UK;EES-UK;;East Essex;UK;0.85;50.68
0;iTelescope, SSO;SSO-AU;un;un;un;0.0;0.0
0;SSO;SSO-AU;un;un;un;0.0;0.0
0;DSC Chile;DSC-CL;un;un;un;0.0;0.0
0;AMPERE;AMP-FR;un;un;un;0.0;0.0
0;AMPERE LYON(FR);AMP-FR;un;un;un;0.0;0.0
0;AMPERE_LYON;AMP-FR;un;un;un;0.0;0.0
0;AMPERE_LYON(FR);AMP-FR;un;un;un;0.0;0.0
0;Antibes Saint_Jean;ANT-FR;un;un;un;0.0;0.0
